GSE55235_OA1	GSE55235_OA2	GSE55235_OA3	GSE55235_OA4	GSE55235_OA5	GSE55235_OA6	GSE55235_OA7	GSE55235_OA8	GSE55235_OA9	GSE55235_OA10	GSE55235_RA1	GSE55235_RA2	GSE55235_RA3	GSE55235_RA4	GSE55235_RA5	GSE55235_RA6	GSE55235_RA7	GSE55235_RA8	GSE55235_RA9	GSE55235_RA10
Macrophage	0	0	0.0878447113743561	0.437166392027788	0.138084730819885	0.665839131655219	0.0615108720117869	0.138148527483023	0.201304551361021	0.203672149764732	0.384389800526274	0.559533308840229	0.660707862588569	0.478935369632435	0.34786739972092	0.387668288967096	0.38154150529941	0.404583313409421	0.579777668488431	0.395841969873446
DC	0.0381646571821141	0.08432478761656	0.0614983465225111	0.0313910159449327	0.0203260333744661	0.0334346309132	0.0611688153052205	0.0759708970889975	0.0295916761047587	0.0290969696061044	0.0725021894514446	0.0627158148960904	0.0257743461019572	0.0800960005115627	0.0324149287544964	0.0507164381615102	0	0.0417406111871111	0.05829031695849	0.0423868647386031
T cell	0	0	0.0387781752889176	0.0113585829929875	0.0758651479662933	0.00621130219536836	0	0	0.062835324293059	0.0412699756714825	0.0509436889710777	0.0865381015166159	0.0605441034731146	0.0582610026989951	0.089455632878807	0.00724964062661757	0	0.0587652281396473	0.0652447775159937	0.0285271484794058
NK cell	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B cell	0.0427248069418166	0.00722345660765662	0	0	0.00911774588394946	0	0.00997208806982725	0.0352860514139452	0	0.0364713384730207	0	0.00922909165587625	0	0	0	0	0.0664395044884833	0	0.0190511716730236	0
Plasma cell	0	0	0.0154552801984618	0	0	0	0	0	0	0	0.0110996699400019	0	0.0131091567021064	0.0213476486601117	0.00955290043182502	0.0614027162342592	0	0.0042541835250059	0	0
Osteoclast	0.553341127969014	0.513952898508543	0.249989762785489	0	0.288589227658881	0	0.378018737063735	0.428795780345363	0.218298402882743	0.0794016126580156	0	0	0.0105652186429071	0	0	0	0.0283895824432868	0	0.0743511244644054	0
Chondrocytes	0.293822726498237	0.39449885726724	0.546433723830264	0.520084009034292	0.468017114296524	0.294514935236212	0.48932948754943	0.321798743668671	0.487970045358418	0.610087953826644	0.481064651111202	0.281983683091188	0.0209003369574084	0.361359978496895	0.520709138213951	0.492962916010518	0.52362940776882	0.490656663738814	0.203284940899656	0.533244016908545
Neutrophil	0.0719466814088183	0	0	0	0	0	0	0	0	0	0	0	0.208398975533938	0	0	0	0	0	0	0
