SOURCE	TARGET	count
C1QC+ Mac_OA_BT	Proliferating CD8+ T_RA_BT	49
C1QC+ Mac_OA_BT	GZMK+ CD8+ Tem1_RA_BT	38
C1QC+ Mac_OA_BT	Proliferating NK_RA_BT	16
C1QC+ Mac_OA_BT	GZMK+ CD8+ NKTem_RA_BT	31
C1QC+ Mac_OA_BT	GNLY+ NK_RA_AT	34
C1QC+ Mac_OA_BT	Naive T_RA_AT	22
C1QC+ Mac_OA_BT	ZNF683+ CD8+ Trm_RA_AT	25
C1QC+ Mac_OA_BT	Proliferating NK_RA_AT	21
C1QC+ Mac_OA_BT	Treg_RA_AT	30
C1QC+ Mac_OA_BT	CD4+ Tex_RA_AT	38
C1QC+ Mac_OA_BT	GZMK+ CD8+ Tem2_RA_AT	20
C1QC+ Mac_OA_BT	GZMK+ CD8+ Tem1_RA_AT	24
C1QC+ Mac_OA_BT	Proliferating CD8+ T_RA_AT	41
C1QC+ Mac_OA_BT	GZMK+ CD8+ NKTem_RA_AT	22
S100A12+ Mac_OA_BT	SPP1+ Mac_OA_BT	7
S100A12+ Mac_OA_BT	C1QC+ Mac_OA_BT	14
S100A12+ Mac_OA_BT	S100A12+ Mac_OA_BT	0
S100A12+ Mac_OA_BT	IEG Mac_OA_BT	2
S100A12+ Mac_OA_BT	Mac_OA_BT	0
S100A12+ Mac_OA_BT	CCL4+ Mac_OA_BT	1
S100A12+ Mac_OA_BT	SPP1+ Mac_RA_BT	34
S100A12+ Mac_OA_BT	S100A12+ Mac_RA_BT	24
S100A12+ Mac_OA_BT	IEG Mac_RA_BT	27
S100A12+ Mac_OA_BT	Mac_RA_BT	23
S100A12+ Mac_OA_BT	C1QC+ Mac_RA_BT	29
S100A12+ Mac_OA_BT	CCL4+ Mac_RA_BT	38
S100A12+ Mac_OA_BT	Mac_RA_AT	20
S100A12+ Mac_OA_BT	C1QC+ Mac_RA_AT	31
S100A12+ Mac_OA_BT	SPP1+ Mac_RA_AT	28
S100A12+ Mac_OA_BT	S100A12+ Mac_RA_AT	16
S100A12+ Mac_OA_BT	IEG Mac_RA_AT	11
S100A12+ Mac_OA_BT	CCL4+ Mac_RA_AT	38
S100A12+ Mac_OA_BT	ZNF683+ CD8+ Trm_OA_BT	2
S100A12+ Mac_OA_BT	GZMK+ CD8+ NKTem_OA_BT	2
S100A12+ Mac_OA_BT	GNLY+ NK_OA_BT	0
S100A12+ Mac_OA_BT	Naive T_OA_BT	1
S100A12+ Mac_OA_BT	GZMK+ CD8+ Tem2_OA_BT	3
S100A12+ Mac_OA_BT	GZMK+ CD8+ Tem1_OA_BT	1
S100A12+ Mac_OA_BT	Proliferating CD8+ T_OA_BT	7
S100A12+ Mac_OA_BT	CD4+ Tex_OA_BT	1
S100A12+ Mac_OA_BT	Treg_OA_BT	1
S100A12+ Mac_OA_BT	Proliferating NK_OA_BT	5
S100A12+ Mac_OA_BT	Naive T_RA_BT	5
S100A12+ Mac_OA_BT	Treg_RA_BT	10
S100A12+ Mac_OA_BT	CD4+ Tex_RA_BT	14
S100A12+ Mac_OA_BT	GZMK+ CD8+ Tem2_RA_BT	8
S100A12+ Mac_OA_BT	GNLY+ NK_RA_BT	12
S100A12+ Mac_OA_BT	ZNF683+ CD8+ Trm_RA_BT	9
S100A12+ Mac_OA_BT	Proliferating CD8+ T_RA_BT	14
S100A12+ Mac_OA_BT	GZMK+ CD8+ Tem1_RA_BT	10
S100A12+ Mac_OA_BT	Proliferating NK_RA_BT	5
S100A12+ Mac_OA_BT	GZMK+ CD8+ NKTem_RA_BT	7
S100A12+ Mac_OA_BT	GNLY+ NK_RA_AT	11
